Data\Frame,0 - 1,1 - 2,2 - 3,3 - 4,4 - 5,5 - 6,6 - 7,7 - 8,8 - 9,9 - 10,10 - 11,11 - 12,12 - 13,13 - 14,14 - 15,15 - 16,16 - 17,17 - 18,,ABS Diff
Lidar TTC,13.03,7.575,10.59,10.67,8.493,6.957,7.756,8.482,9.254,8.86,7.927,7.612,6.878,8.043,6.671,7.064,7.702,6.164,,
,,,,,,,,,,,,,,,,,,,,
SHITOMASI-SIFT,-0.982312,-4.20629,-0.361351,-1.9975,-3.3389,-6.03723,-5.66205,-4.77462,-2.95494,-4.65314,-4.17533,-3.9261,-4.51049,-3.53065,-4.17602,-0.420127,-3.3051,-2.0679,,6.03723
SHITOMASI - ORB,-0.843246,-3.42779,-2.22226,-1.80468,-4.02533,-6.26251,-5.29445,-3.40018,-2.18831,-5.04209,-3.85256,-3.95866,-4.75599,-2.83086,-3.59435,-1.11388,-1.98681,-1.94773,,6.26251
SHITOMASI - BRIEF,-1.64453,-6.3957,0.853479,-4.30529,-4.26941,-6.31306,-7.51024,-3.60273,-2.61602,-3.76776,-3.92271,-4.1517,-4.84159,-3.3119,-5.52656,-1.17496,-3.43594,-2.26611,,7.51024
AKAZE-FREAK,0.258104,-6.50014,-3.30168,-3.07469,-6.54101,-7.17913,-7.93662,-5.28408,-3.81335,-2.88218,-4.22611,-3.08697,-4.0561,-1.92809,-2.69597,-2.75061,-1.8695,-2.74582,,7.93662
AKAZE-BRIEF,-0.346372,-7.62158,-2.54802,-3.91898,-7.11169,-6.68334,-7.9831,-5.9779,-4.85937,-3.03574,-5.09798,-4.55572,-3.37044,-2.08226,-2.47902,-3.08115,-1.83643,-2.67899,,7.9831
SHITOMASI - FREAK,-3.09988,-5.45451,0.567727,-3.24838,-4.2402,-7.99674,-4.20258,-3.74739,-1.97735,-4.90303,-3.48255,-4.55689,-5.23383,-3.75958,-5.55769,-3.93983,-2.6158,-4.13179,,7.99674
AKAZE-AKAZE,0.44757,-7.2141,-2.35577,-3.93958,-8.00426,-6.29361,-7.45578,-6.07472,-4.89803,-2.72561,-4.2589,-3.88959,-3.54704,-2.39015,-3.9824,-3.02909,-1.65743,-2.84086,,8.00426
AKAZE-ORB,-0.246019,-6.99826,-2.66566,-3.70511,-7.4537,-7.18874,-8.04956,-5.77861,-4.16879,-2.59474,-4.40101,-4.03514,-3.91458,-2.39782,-3.20588,-3.22725,-1.37473,-2.61768,,8.04956
HARRIS-FREAK,-0.6643,-4.45441,-3.50615,-8.4221,-2.7025,-7.38306,-6.82704,-4.57014,-3.02815,-5.00414,-5.51962,-5.19356,-4.73368,-5.06837,-2.29729,-4.56873,-2.7264,-6.87618,,8.4221
AKAZE-BRISK,0.741209,-7.19107,-2.86537,-3.57599,-5.6312,-8.13111,-8.44514,-5.91216,-4.7137,-2.61804,-4.72829,-3.68336,-3.56519,-2.50084,-3.32862,-2.92856,-1.73909,-2.81653,,8.44514
AKAZE-SIFT,0.369745,-7.07374,-2.55823,-3.49506,-8.54206,-6.8159,-7.73851,-5.55095,-4.90015,-2.79357,-4.77823,-3.77825,-4.04111,-2.41924,-3.15807,-3.01659,-1.75919,-2.74312,,8.54206
SIFT-BRISK,-0.486418,-5.47822,-2.12627,-9.00163,-8.7436,-3.58005,-6.52657,-4.14043,-4.3938,-1.26338,-3.80033,-3.07544,-2.81434,-3.00261,-2.81009,-2.57973,-1.15784,-3.162,,9.00163
SIFT-BRIEF,1.45242,-5.10107,-2.50795,-9.02002,-5.39905,-4.1058,-6.70416,-4.07077,-5.9771,-1.2634,-3.36078,-3.07783,-2.28095,-1.04874,-2.59374,-2.77974,-0.977315,-2.798,,9.02002
SIFT-SIFT,1.3972,-5.9473,-2.04916,-7.78827,-6.7445,-5.23796,-7.05639,-9.33181,-4.81267,-2.15189,-3.88569,-3.70331,-3.69685,-4.22579,-2.79176,-1.99946,-1.12677,-2.77246,,9.33181
FAST-FREAK,0.828976,-8.40103,-3.52741,-2.21027,-9.92758,-5.62645,-5.52051,-5.86603,-2.54909,-4.50662,-4.63266,-4.7479,-5.27435,-3.2842,-4.73178,-3.77977,-3.63477,-3.8039,,9.92758
SIFT-BRIEF,1.03501,-5.10107,-3.32229,-11.1256,-5.67085,-4.1058,-5.37554,-7.68884,-4.00429,-1.47028,-4.11683,-2.14277,-2.75073,-1.3096,-2.251,-1.80182,-0.913474,-3.24737,,11.1256
BRISK-ORB,-1.03088,-7.2704,-2.8617,-9.22722,-12.0836,-9.3659,-11.7792,-6.79209,-2.94395,-3.37878,-4.91845,-3.50897,-4.76188,-2.72303,-6.54738,-3.45366,-2.06301,-4.44067,,12.0836
BRISK-FREAK,-1.45516,-14.8062,-4.08327,-2.92812,-15.8614,-7.06405,-6.85988,-8.58746,-8.82811,-4.4162,-4.15668,-4.86686,-5.70154,-3.75494,-5.75328,-2.87017,-1.13265,-4.42304,,15.8614
HARRIS-BRIEF,-16.0584,-4.20274,-1.46695,-7.76998,-2.76069,-5.8945,-5.82057,-5.22997,-2.71923,-4.42027,-4.77282,-4.33197,-5.23383,-5.60657,-3.05486,-4.49982,-2.99915,-7.19963,,16.0584
